"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.137.22","44.227.237.70","TLSv1.1","119","Application Data"
"2","0.093402","44.227.237.70","192.168.137.22","TCP","66","5223  >  55513 [ACK] Seq=1 Ack=54 Win=412 Len=0 TSval=3472170895 TSecr=22723"
"3","1.140900","Dell_c7:e0:05","Broadcast","ARP","42","Who has 10.0.0.1? Tell 192.168.137.1"
"4","1.919439","Dell_c7:e0:05","Broadcast","ARP","42","Who has 10.0.0.1? Tell 192.168.137.1"
"5","2.908324","Dell_c7:e0:05","Broadcast","ARP","42","Who has 10.0.0.1? Tell 192.168.137.1"
"6","2.972691","192.168.137.22","44.227.237.70","TLSv1.1","311","Application Data"
"7","3.033738","192.168.137.22","23.196.34.146","TLSv1.1","119","Encrypted Alert"
"8","3.034540","192.168.137.22","23.196.34.146","TCP","66","55145  >  443 [FIN, ACK] Seq=54 Ack=1 Win=65535 Len=0 TSval=2172 TSecr=1260582717"
"9","3.034939","192.168.137.22","192.168.137.1","DNS","96","Standard query 0xd4d9 A us-prof.np.community.playstation.net"
"10","3.054269","192.168.137.1","192.168.137.22","DNS","301","Standard query response 0xd4d9 A us-prof.np.community.playstation.net CNAME 13673-wildcard.np.community.playstation.net.edgekey.net CNAME 13673-wildcard.np.community.playstation.net.edgekey.net.globalredir.akadns.net CNAME e13673.b.akamaiedge.net A 23.193.42.11"
"11","3.056363","23.196.34.146","192.168.137.22","TCP","54","443  >  55145 [RST] Seq=1 Win=0 Len=0"
"12","3.066532","44.227.237.70","192.168.137.22","TCP","66","5223  >  55513 [ACK] Seq=1 Ack=299 Win=416 Len=0 TSval=3472173868 TSecr=22729"
"13","3.069082","192.168.137.22","23.193.42.11","TCP","78","55131  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=1 SACK_PERM=1 TSval=0 TSecr=0"
"14","3.097756","23.193.42.11","192.168.137.22","TCP","74","443  >  55131 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=542666637 TSecr=0 WS=128"
"15","3.100059","192.168.137.22","23.193.42.11","TCP","66","55131  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=0 TSecr=542666637"
"16","3.102964","192.168.137.22","23.193.42.11","TLSv1.1","126","Client Hello"
"17","3.130471","23.193.42.11","192.168.137.22","TCP","66","443  >  55131 [ACK] Seq=1 Ack=61 Win=29056 Len=0 TSval=542666668 TSecr=0"
"18","3.130500","23.193.42.11","192.168.137.22","TLSv1.1","1514","Server Hello"
"19","3.130516","23.193.42.11","192.168.137.22","TCP","1514","443  >  55131 [ACK] Seq=1449 Ack=61 Win=29056 Len=1448 TSval=542666669 TSecr=0 [TCP segment of a reassembled PDU]"
"20","3.130530","23.193.42.11","192.168.137.22","TLSv1.1","245","Certificate, Server Hello Done"
"21","3.132828","192.168.137.22","23.193.42.11","TCP","66","55131  >  443 [ACK] Seq=61 Ack=2897 Win=62804 Len=0 TSval=0 TSecr=542666669"
"22","3.133230","192.168.137.22","23.193.42.11","TCP","66","55131  >  443 [ACK] Seq=61 Ack=3076 Win=65535 Len=0 TSval=0 TSecr=542666669"
"23","3.227502","192.168.137.22","23.193.42.11","TLSv1.1","408","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"24","3.262957","23.193.42.11","192.168.137.22","TLSv1.1","141","Change Cipher Spec, Encrypted Handshake Message"
"25","3.268381","192.168.137.22","23.193.42.11","TLSv1.1","1095","Application Data"
"26","3.268381","192.168.137.22","23.193.42.11","TLSv1.1","183","Application Data"
"27","3.298267","23.193.42.11","192.168.137.22","TCP","66","443  >  55131 [ACK] Seq=3151 Ack=1549 Win=32128 Len=0 TSval=542666836 TSecr=0"
"28","3.437821","23.193.42.11","192.168.137.22","TLSv1.1","503","Application Data"
"29","3.450493","35.161.195.31","192.168.137.22","TLSv1.1","375","Application Data"
"30","3.637482","192.168.137.22","23.193.42.11","TCP","66","55131  >  443 [ACK] Seq=1549 Ack=3588 Win=65535 Len=0 TSval=1 TSecr=542666976"
"31","3.647752","192.168.137.22","35.161.195.31","TCP","66","55485  >  443 [ACK] Seq=1 Ack=310 Win=65535 Len=0 TSval=22716 TSecr=3187143711"
"32","9.758237","192.168.137.22","192.168.137.1","DNS","104","Standard query 0x8996 A static-resource.np.community.playstation.net"
"33","9.778880","192.168.137.1","192.168.137.22","DNS","220","Standard query response 0x8996 A static-resource.np.community.playstation.net CNAME static-resource.np.community.playstation.net.edgekey.net CNAME e6234.g.akamaiedge.net A 23.195.100.205"
"34","9.781088","192.168.137.22","23.195.100.205","TCP","78","55130  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=1 SACK_PERM=1 TSval=0 TSecr=0"
"35","9.807452","23.195.100.205","192.168.137.22","TCP","74","80  >  55130 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3678935545 TSecr=0 WS=128"
"36","9.810067","192.168.137.22","23.195.100.205","TCP","66","55130  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=0 TSecr=3678935545"
"37","9.810067","192.168.137.22","23.195.100.205","HTTP","232","GET /np/resource/trophy/trophy-status.xml HTTP/1.1 "
"38","9.844252","23.195.100.205","192.168.137.22","TCP","66","80  >  55130 [ACK] Seq=1 Ack=167 Win=30080 Len=0 TSval=3678935581 TSecr=0"
"39","9.845943","23.195.100.205","192.168.137.22","HTTP/XML","584","HTTP/1.1 200 OK "
"40","9.848562","192.168.137.22","23.195.100.205","TCP","66","55130  >  80 [FIN, ACK] Seq=167 Ack=519 Win=65535 Len=0 TSval=1 TSecr=3678935584"
"41","9.878737","23.195.100.205","192.168.137.22","TCP","66","80  >  55130 [FIN, ACK] Seq=519 Ack=168 Win=30080 Len=0 TSval=3678935614 TSecr=1"
"42","9.881081","192.168.137.22","23.195.100.205","TCP","66","55130  >  80 [ACK] Seq=168 Ack=520 Win=65535 Len=0 TSval=1 TSecr=3678935614"
"43","11.249886","44.227.237.70","192.168.137.22","TLSv1.1","583","Application Data"
"44","11.447250","192.168.137.22","44.227.237.70","TCP","66","55513  >  5223 [ACK] Seq=299 Ack=518 Win=65535 Len=0 TSval=22746 TSecr=3472182052"
"45","15.449996","192.168.137.1","192.168.137.255","UDP","86","57621  >  57621 Len=44"
"46","16.131214","Dell_c7:e0:05","Broadcast","ARP","42","Who has 10.0.0.1? Tell 192.168.137.1"
