"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.137.186","192.168.137.1","DNS","86","Standard query 0x9512 A gb.np.stun.playstation.net"
"2","0.022125","192.168.137.1","192.168.137.186","DNS","133","Standard query response 0x9512 A gb.np.stun.playstation.net CNAME stun.ww.np.cn.s0.playstation.net A 52.40.62.52"
"3","0.025428","192.168.137.186","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"4","1.026432","192.168.137.186","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"5","2.026115","192.168.137.186","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"6","3.026666","192.168.137.186","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"7","3.490405","192.168.137.186","192.168.137.1","DNS","91","Standard query 0xc536 A gs-sec.ww.np.dl.playstation.net"
"8","3.514410","192.168.137.1","192.168.137.186","DNS","192","Standard query response 0xc536 A gs-sec.ww.np.dl.playstation.net CNAME wild.ww.np.dl.playstation.net.edgekey.net CNAME e1800.d.akamaiedge.net A 184.28.60.243"
"9","3.516823","192.168.137.186","184.28.60.243","TCP","78","59336  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=1 SACK_PERM=1 TSval=0 TSecr=0"
"10","3.549078","184.28.60.243","192.168.137.186","TCP","74","443  >  59336 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3672693230 TSecr=0 WS=128"
"11","3.551271","192.168.137.186","184.28.60.243","TCP","66","59336  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=0 TSecr=3672693230"
"12","3.554600","192.168.137.186","184.28.60.243","TLSv1.1","126","Client Hello"
"13","3.583644","184.28.60.243","192.168.137.186","TCP","74","[TCP Retransmission] 443  >  59336 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=3672693265 TSecr=0 WS=128"
"14","3.583669","184.28.60.243","192.168.137.186","TCP","66","443  >  59336 [ACK] Seq=1 Ack=61 Win=29056 Len=0 TSval=3672693266 TSecr=0"
"15","3.583681","184.28.60.243","192.168.137.186","TCP","66","[TCP Dup ACK 14#1] 443  >  59336 [ACK] Seq=1 Ack=61 Win=29056 Len=0 TSval=3672693266 TSecr=0"
"16","3.586397","184.28.60.243","192.168.137.186","TLSv1.1","1514","Server Hello"
"17","3.586430","184.28.60.243","192.168.137.186","TLSv1.1","823","Certificate, Server Hello Done"
"18","3.586952","192.168.137.186","184.28.60.243","TCP","78","[TCP Dup ACK 11#1] 59336  >  443 [ACK] Seq=61 Ack=1 Win=65535 Len=0 TSval=0 TSecr=3672693265 SLE=1 SRE=1"
"19","3.589282","192.168.137.186","184.28.60.243","TCP","66","59336  >  443 [ACK] Seq=61 Ack=2206 Win=63495 Len=0 TSval=0 TSecr=3672693267"
"20","3.664992","192.168.137.186","184.28.60.243","TLSv1.1","408","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"21","3.694979","184.28.60.243","192.168.137.186","TLSv1.1","141","Change Cipher Spec, Encrypted Handshake Message"
"22","3.698652","192.168.137.186","184.28.60.243","TLSv1.1","359","Application Data"
"23","3.729840","184.28.60.243","192.168.137.186","TCP","1514","443  >  59336 [ACK] Seq=2281 Ack=696 Win=31104 Len=1448 TSval=3672693410 TSecr=0 [TCP segment of a reassembled PDU]"
"24","3.729875","184.28.60.243","192.168.137.186","TLSv1.1","1199","Application Data"
"25","3.729889","184.28.60.243","192.168.137.186","TLSv1.1","119","Encrypted Alert"
"26","3.729901","184.28.60.243","192.168.137.186","TCP","66","443  >  59336 [FIN, ACK] Seq=4915 Ack=696 Win=31104 Len=0 TSval=3672693410 TSecr=0"
"27","3.732563","192.168.137.186","184.28.60.243","TCP","66","59336  >  443 [ACK] Seq=696 Ack=4862 Win=63119 Len=0 TSval=0 TSecr=3672693410"
