No.,Time,Source,Destination,Protocol,Length,Info
9,5.092917,192.168.137.174,23.205.106.172,HTTP,371,GET /livearea/n/info/np/LA-PN.DC.US-STORE/af3a2839f5df9b4de4d989ba7cf86ec426cd0a6a9afa2f0daeab4e4b1b6d880b/LA-PN.DC.US-STORE-0.pkg?country=US HTTP/1.1 
11,5.556046,23.205.106.172,192.168.137.174,HTTP,302,HTTP/1.1 304 Not Modified 
22,9.202407,192.168.137.174,23.205.104.24,HTTP,312,GET /update/psp2/list/us/psp2-updatelist.xml?ver=03730000&sid=a4a0e00a1cae3f736bf9a91577340374f548e7e07c04e971b38e934bc4bd324a&nd=2 HTTP/1.1 
26,9.314158,23.205.104.24,192.168.137.174,HTTP/XML,1440,HTTP/1.1 200 OK 
122,16.851847,192.168.137.174,23.73.246.238,HTTP,202,GET /cdn/video/US/g?country=us HTTP/1.1 
124,16.976237,23.73.246.238,192.168.137.174,HTTP,369,HTTP/1.1 200 OK  (text/plain)
130,17.269082,23.73.246.238,192.168.137.174,HTTP,369,[TCP Spurious Retransmission] HTTP/1.1 200 OK  (text/plain)
138,17.369085,192.168.137.174,23.73.246.238,HTTP,202,GET /cdn/comic/US/g?country=us HTTP/1.1 
140,17.499371,23.73.246.238,192.168.137.174,HTTP,369,HTTP/1.1 200 OK  (text/plain)
177,18.495917,192.168.137.174,23.205.104.54,HTTP,322,GET /nsx-e/psp2?sid=4767E86864F9EDF3C38C76D2AA51A2D5E4610F2776068FAB2000CCC5A3DAC12D&c=us&l=1&e=90&ref=99&caller=NPXS19999 HTTP/1.1 
187,18.745711,23.205.104.54,192.168.137.174,HTTP,231,HTTP/1.1 404 Not Found 
195,18.830199,192.168.137.174,23.205.104.54,HTTP,332,GET /nsx-e/psp2?sid=4767E86864F9EDF3C38C76D2AA51A2D5E4610F2776068FAB2000CCC5A3DAC12D&c=us&l=1&e=20001&catid=STORE-MSF74515-PSTVGAMES HTTP/1.1 
214,19.474261,192.168.137.174,104.121.100.150,HTTP,280,GET /nsx/material/c/cf3fd44b823fc3970b39125fc09025539d562123-1098100.png?country=us HTTP/1.1 
246,19.720274,104.121.100.150,192.168.137.174,HTTP,798,HTTP/1.1 200 OK  (PNG)
